frame,thread_id,particles_processed,time_spent_ms,migrations_sent,migrations_received,insertions,removals,subdivisions,merges
150,1,0,0.000,0,0,0,0,0,0
150,2,0,0.000,0,0,0,0,0,0
150,3,0,0.000,0,0,0,0,0,0
151,0,429,0.111,0,0,429,0,0,0
151,1,0,0.000,0,0,0,0,0,0
151,2,0,0.000,0,0,0,0,0,0
151,3,0,0.000,0,0,0,0,0,0
152,0,428,0.101,1,0,428,0,0,0
152,1,0,0.000,0,0,0,0,0,0
152,2,26,0.105,0,0,26,0,0,0
152,3,0,0.000,0,0,0,0,0,0
153,0,428,0.169,0,0,428,0,0,0
153,1,0,0.000,0,0,0,0,0,0
153,2,0,0.000,0,0,0,0,0,0
153,3,0,0.000,0,0,0,0,0,0
154,0,0,0.000,0,0,0,0,0,0
154,1,0,0.000,0,0,0,0,0,0
154,2,0,0.000,0,0,0,0,0,0
154,3,0,0.000,0,0,0,0,0,0
155,0,0,0.000,1,0,0,0,0,0
155,1,0,0.000,0,0,0,0,0,0
155,2,0,0.000,0,0,0,0,0,0
155,3,0,0.000,0,0,0,0,0,0
